College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Muhlenberg College](https://www.muhlenberg.edu/offices/healthcenter/coronavirus/communications/vaccinationpolicyupdate.html)@@Muhlenberg College,28-Apr-21,Private,PA,✓,--,✓,--,--,D
[Naropa University](https://www.naropa.edu/coronavirus/)@@Naropa University,30-Apr-21,Private,CO,✓,--,✓,--,--,D
[Nassau Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Nassau Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[National Louis University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@National Louis University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[National University of Health Sciences](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@National University of Health Sciences,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Naugatuck Valley Community College](https://www.ct.edu/covid19#faqs)@@Naugatuck Valley Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Nazareth College](https://www2.naz.edu/covid-19-resources/health-wellness-prevention/covid-19-vaccine-requirement)@@Nazareth College,--,Private,NY,✓,--,✓,--,--,D
[Nebraska Wesleyan University](https://www.nebrwesleyan.edu/about-nwu/covid-19-coronavirus-updates)@@Nebraska Wesleyan University,--,Private,NE,--,--,✓,--,--,R
[Neumann University](https://www.neumann.edu/shield-our-knights)@@Neumann University,17-Jun-21,Private,PA,✓,--,✓,--,--,D
[Nevada State College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Nevada State College,20-Aug-21,Public,NV,✓,--,--,--,--,D
[New England College](https://www.nec.edu/nec-to-require-covid-19-vaccination/)@@New England College,21-May-21,Private,NH,✓,--,✓,--,--,D
[New England Law-Boston](https://www.nesl.edu/docs/default-source/intranet-pdfs/covid-19-vaccination-policy.pdf)@@New England Law-Boston,28-Jun-21,Private,MA,✓,--,✓,--,--,D
[New Jersey City University](https://www.njcu.edu/about/news/2021/04/student-covid-19-vaccination-requirement-and-availability)@@New Jersey City University,18-Apr-21,Public,NJ,✓,--,✓,--,--,D
[New Jersey Institute of Technology](https://www.njit.edu/pandemicrecovery/vaccination-requirement-njit-community-members)@@New Jersey Institute of Technology,28-Apr-21,Public,NJ,✓,--,✓,--,--,D
[New Mexico Highlands University](https://www.nmhu.edu/coronavirus-covid-19-information/)@@New Mexico Highlands University,--,Public,NM,✓,--,✓,--,--,D
"[New Mexico State University-Alamogordo](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Alamogordo",27-Oct-21,Public,NM,✓,--,--,--,--,D
"[New Mexico State University-Carlsbad](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Carlsbad",27-Oct-21,Public,NM,✓,--,--,--,--,D
"[New Mexico State University-Dona Ana](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Dona Ana",27-Oct-21,Public,NM,✓,--,--,--,--,D
"[New Mexico State University-Grants](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Grants",27-Oct-21,Public,NM,✓,--,--,--,--,D
"[New Mexico State University-Main Campus](https://news.nmsu.edu/2021/10/nmsu-system-requires-covid-19-vaccines-for-all-employees,-citing-federal-mandate.html)@@New Mexico State University-Main Campus",27-Oct-21,Public,NM,✓,--,--,--,--,D
[New York Film Academy](https://www.nyfa.edu/eblast/letter-2-05-11-2021.html)@@New York Film Academy,12-May-21,For-profit,CA,✓,--,✓,--,--,D
[New York Institute of Technology](https://www.nyit.edu/about/vaccination)@@New York Institute of Technology,23-Aug-21,Private,NY,✓,--,✓,--,--,D
[New York University](https://www.nyu.edu/life/safety-health-wellness/coronavirus-information/safety-and-health/covid-19-vaccine/vaccine-questions-and-support/vaccine-requirement.html)@@New York University,23-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Niagara County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Niagara County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Niagara University](https://www.niagara.edu/student-vaccine-protocol/)@@Niagara University,6-Aug-21,Private,NY,✓,--,✓,--,--,D
[Nicholls State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Nicholls State University,23-Aug-21,Public,LA,--,--,✓,--,--,R
[Norco College](https://www.rccd.edu/news/Pages/RCCD-Trustees-Mandate-COVID-Vaccinations.aspx)@@Norco College,10-Aug-21,Public,CA,✓,--,✓,--,--,D
[Norfolk State University](https://www.nsu.edu/Coronavirus)@@Norfolk State University,23-Jul-21,Public,VA,✓,--,✓,--,--,D
[North Carolina State University](https://www.ncsu.edu/coronavirus/important-update-on-nc-state-employee-vaccine-requirements/)@@North Carolina State University,25-Oct-21,Public,NC,--,✓,--,--,--,R
[North Central College](https://covid.northcentralcollege.edu/2021/08/10/covid-19-vaccine-expectation/)@@North Central College,10-Aug-21,Private,IL,✓,--,✓,--,--,D
[North Country Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@North Country Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[North Park University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@North Park University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[North Seattle College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@North Seattle College,20-Aug-21,Public,WA,✓,--,✓,--,--,D
[North Shore Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@North Shore Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Northeast Ohio Medical University](https://thepulse.neomed.edu/articles/neomed-covid-19-vaccination-requirements/)@@Northeast Ohio Medical University,8-Sep-21,Public,OH,✓,--,✓,--,--,R
[Northeastern Illinois University](https://www.neiu.edu/news/northeastern-require-covid-19-vaccination-fall-2021)@@Northeastern Illinois University,13-Aug-21,Public,IL,✓,--,✓,--,--,D
[Northeastern University](https://news.northeastern.edu/2021/04/06/northeastern-to-require-covid-19-vaccinations-for-all-students-this-fall/)@@Northeastern University,6-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Northern Baptist Theological Seminary](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Northern Baptist Theological Seminary,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Northern Essex Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Northern Essex Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Northern Illinois University](https://www.niu.edu/protecting-the-pack/communication/messaging/6-23-21-requiring-covid-19-vaccination-for-students-employees.html)@@Northern Illinois University,23-Jun-21,Public,IL,✓,--,✓,--,--,D
[Northern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Northern Maine Community College,12-Aug-21,Public,ME,--,--,✓,--,✓,D
[Northern Marianas College](https://www.marianas.edu/vaccination#who-is-required-to-get-vaccinated)@@Northern Marianas College,--,Public,MP,--,--,✓,--,--,null
[Northshore Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Northshore Technical Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Northwest College of Art and Design](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Northwest College of Art and Design,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Northwest Indian College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Northwest Indian College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Northwest Louisiana Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Northwest Louisiana Technical Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Northwest School of Wooden Boatbuilding](https://www.nwswb.edu/news/)@@Northwest School of Wooden Boatbuilding,10-Aug-21,Private,WA,✓,--,✓,--,--,D
[Northwest University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Northwest University,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Northwestern College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Northwestern College,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Northwestern Connecticut Community College](https://www.ct.edu/covid19#faqs)@@Northwestern Connecticut Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Northwestern State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Northwestern State University,23-Aug-21,Public,LA,--,--,✓,--,--,R
[Northwestern University](https://www.northwestern.edu/coronavirus-covid-19-updates/health/vaccine/)@@Northwestern University,12-May-21,Private,IL,✓,--,✓,--,--,D
[Norwalk Community College](https://www.ct.edu/covid19#faqs)@@Norwalk Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Norwich University](https://www.norwich.edu/news/psa/3169-update-from-the-hill-may-11-2021-covid-vaccination-update)@@Norwich University,11-May-21,Private,VT,✓,--,✓,--,--,D
[Notre Dame of Maryland University](https://www.ndm.edu/news-and-events/news/covid-19-vaccination-required-fall)@@Notre Dame of Maryland University,26-May-21,Private,MD,--,--,✓,--,--,D
[Nova Southeastern University](https://www.nova.edu/coronavirus/information/archive-updates.html)@@Nova Southeastern University,16-Jul-21,Private,FL,✓,--,--,--,--,R
[Nunez Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Nunez Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Oakland University](https://www.oakland.edu/return-to-campus/covid-19-vaccines/)@@Oakland University,6-Apr-21,Public,MI,✓,--,✓,--,--,D
[Oakton Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Oakton Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Oberlin College and Conservatory](https://www.oberlin.edu/obiesafe/obiesafe-policies-fall-2021)@@Oberlin College and Conservatory,24-Aug-21,Private,OH,✓,--,✓,--,✓,R
[Occidental College](https://www.oxy.edu/covid-19/community-messages/student-vaccination-requirement)@@Occidental College,28-Apr-21,Private,CA,✓,--,✓,--,✓,D
[Oglethorpe University](https://covid19.oglethorpe.edu/wp-content/uploads/sites/12/2021/06/covid-vaccine-policy-fall-2021.pdf)@@Oglethorpe University,3-Jun-21,Private,GA,✓,--,✓,--,--,D
[Ohio State University](https://news.osu.edu/ohio-state-announces-vaccination-requirement/)@@Ohio State University,24-Aug-21,Public,OH,✓,--,✓,--,--,R
[Ohio University](https://www.ohio.edu/coronavirus/vaccine/vaccine-requirement)@@Ohio University,31-Aug-21,Public,OH,✓,--,✓,--,--,R
[Ohio Wesleyan University](https://www.owu.edu/about/safe-campus-guide-covid-19/safe-campus-guide-student-faq/#vaccineinfo)@@Ohio Wesleyan University,--,Private,OH,✓,--,✓,--,--,R
[Old Dominion University](https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co/update-35)@@Old Dominion University,8-Jun-21,Public,VA,✓,--,✓,--,--,D
[Olin College of Engineering](https://www.olin.edu/human-resources/return-campus/)@@Olin College of Engineering,--,Private,MA,✓,--,✓,--,--,D
[Olivet Nazarene University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Olivet Nazarene University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Olney Central College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Olney Central College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Olympic College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Olympic College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Onondaga Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Onondaga Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Orange Coast College](https://www.cccd.edu/aboutus/novelcoronavirus/index.cfm)@@Orange Coast College,24-Aug-21,Public,CA,✓,--,✓,--,--,D
[Orange County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Orange County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Oregon Institute of Technology](https://www.oit.edu/coronavirus)@@Oregon Institute of Technology,2-Jun-21,Public,OR,✓,--,✓,--,--,D
[Oregon State University](https://covid.oregonstate.edu/latest-updates/university-plans-require-vaccinations)@@Oregon State University,4-May-21,Public,OR,✓,--,✓,--,--,D
[Otis College of Art and Design](https://www.otis.edu/covid-19-response-hub/mask-vaccination-policy)@@Otis College of Art and Design,--,Private,CA,✓,--,✓,--,--,D
[Otterbein University](https://www.otterbein.edu/covid19/2021-faq/)@@Otterbein University,26-Aug-21,Private,OH,✓,--,✓,--,--,R
[Pace University](https://pacechronicle.com/news/2021/04/26/pace-mandates-covid-19-vaccine-for-all-students-faculty-strongly-advised/)@@Pace University,26-Apr-21,Private,NY,✓,--,✓,--,--,D
[Pacific College of Health Science at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Pacific College of Health Science at Chicago,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Pacific Lutheran University](https://www.plu.edu/coronavirus/updates/2021/04/27/plu-expands-student-immunization-requirement-to-include-covid-19-vaccine/)@@Pacific Lutheran University,27-Apr-21,Private,WA,✓,--,✓,--,--,D
[Pacific Northwest University](https://www.pnwu.edu/blog/2021/06/01/covid-19-plans-for-returning-to-campus-this-fall/)@@Pacific Northwest University,1-Jun-21,Private,WA,✓,--,✓,--,--,D
[Pacific University](https://www.pacificu.edu/about/media/pacific-will-require-covid-19-vaccination-students-employees)@@Pacific University,30-Apr-21,Private,OR,✓,--,✓,--,--,D
[Parkland College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Parkland College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Paul Quinn College](https://twitter.com/michaelsorrell/status/1379765937805615104?s=20)@@Paul Quinn College,7-Apr-21,Private,TX,--,--,✓,--,--,R
[Peninsula College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Peninsula College,20-Aug-21,Public,WA,✓,--,✓,--,--,D
[Pennsylvania State University at Altoona](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University at Altoona,19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University at DuBois](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University at DuBois,19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University at Erie (Behrend College)](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University at Erie (Behrend College),19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University at Harrisburg](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University at Harrisburg,19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University at University Park](https://news.psu.edu/story/672455/2021/10/12/administration/all-university-park-employees-subject-federal-covid-19)@@Pennsylvania State University at University Park,13-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University-Brandywine](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University-Brandywine,19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pennsylvania State University-Fayette (Eberly Campus)](https://news.psu.edu/story/673056/2021/10/19/campus-life/federal-vaccine-requirement-extends-six-campuses-federal)@@Pennsylvania State University-Fayette (Eberly Campus),19-Oct-21,Public,PA,✓,--,--,--,--,D
[Pepperdine University](https://www.pepperdine.edu/coronavirus/vaccine/)@@Pepperdine University,--,Private,CA,✓,--,✓,--,--,D
[Perry Technical Institute](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Perry Technical Institute,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Philadelphia College of Osteopathic Medicine](https://www.pcom.edu/coronavirus/announcements.html)@@Philadelphia College of Osteopathic Medicine,14-Apr-21,Private,PA,--,--,✓,--,--,D
[Pierce College at Fort Steilacoom](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Pierce College at Fort Steilacoom,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Pierce College at Puyallup](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Pierce College at Puyallup,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Pima Medical Institute at Renton](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Pima Medical Institute at Renton,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Pima Medical Institute at Seattle](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Pima Medical Institute at Seattle,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Pitzer College](https://tsl.news/pitzer-vaccine-requirement/)@@Pitzer College,13-Apr-21,Private,CA,✓,--,✓,--,--,D
[Point Park University](https://www.pointpark.edu/studentlife/healthandstudentservices/studenthealthcenter/returntocampus/index)@@Point Park University,29-Jun-21,Private,PA,--,--,✓,--,--,D
[Pomona College](https://www.pomona.edu/coronavirus)@@Pomona College,14-Apr-21,Private,CA,--,--,✓,--,--,D
[Porterville College](https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf)@@Porterville College,12-Aug-21,Public,CA,✓,--,✓,--,--,D
[Portland State University](https://www.pdx.edu/president/may-5-2021-message)@@Portland State University,5-May-21,Public,OR,✓,--,✓,--,--,D
[Post University](https://post.edu/blog/message-to-campus-community-students-families-vaccine-message/)@@Post University,6-May-21,For-profit,CT,--,--,✓,--,--,D
[Prairie State College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Prairie State College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Pratt Institute](https://www.pratt.edu/coronavirus/recent-communications-to-the-pratt-community/#may-11-2021-letter)@@Pratt Institute,11-May-21,Private,NY,✓,--,✓,--,--,D
[Prescott College](https://covid.prescott.edu/)@@Prescott College,2-Jun-21,Private,AZ,--,--,✓,--,--,D
[Princeton University](https://www.princeton.edu/news/2021/04/20/university-will-require-all-undergraduate-and-graduate-students-receive-covid-19)@@Princeton University,20-Apr-21,Private,NJ,✓,--,✓,--,✓,D
[Providence College](https://www.providencejournal.com/story/news/education/2021/05/27/providence-college-require-covid-vaccinations-students/7473360002/)@@Providence College,27-May-21,Private,RI,--,--,✓,--,--,D
[Queens University of Charlotte](https://www.queens.edu/news/2020/royal-return/vaccine-information.html)@@Queens University of Charlotte,--,Private,NC,✓,--,✓,--,✓,R
[Quincy University](https://www.quincy.edu/coronavirus/)@@Quincy University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Quinebaug Valley Community College](https://www.ct.edu/covid19#faqs)@@Quinebaug Valley Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Quinnipiac University](https://www.qu.edu/health-wellness-and-safety/covid-19-resources/vaccine-information/)@@Quinnipiac University,26-May-21,Private,CT,✓,--,✓,--,✓,D
[Quinsigamond Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Quinsigamond Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Radford University](https://www.radford.edu/content/radfordcore/home/reopening/fall2021-operational-plan.html)@@Radford University,15-Jun-21,Public,VA,--,--,✓,--,--,D
[Ramapo College of New Jersey](https://www.ramapo.edu/health/covid-19-vaccine/)@@Ramapo College of New Jersey,--,Public,NJ,--,--,✓,--,--,D
[Randolph College](https://www.randolphcollege.edu/news/2021/06/randolph-to-require-covid-19-vaccine-for-students-for-fall-2021/)@@Randolph College,3-Jun-21,Private,VA,--,--,✓,--,--,D
[Randolph-Macon College](https://www.rmc.edu/campus-life/protect/covid-19-vaccine-requirement-for-fall-2021-semester)@@Randolph-Macon College,11-May-21,Private,VA,✓,--,✓,--,--,D
[Rasmussen College in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Rasmussen College in Illinois,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Reed College](https://www.reed.edu/coronavirus/news-and-announcements/may-6-2021-what-you-need-to-know.html)@@Reed College,6-May-21,Private,OR,--,--,✓,--,--,D
[Regis College](https://www.regiscollege.edu/about-regis/news/announcement-regarding-covid-19-vaccine-requirement)@@Regis College,12-May-21,Private,MA,✓,--,✓,--,--,D
[Regis University](https://www.regis.edu/news/2021/news-releases/05/covid-vaccine)@@Regis University,13-May-21,Private,CO,✓,--,✓,--,✓,D
[Rend Lake College](https://www.rlc.edu/cares-covid-information)@@Rend Lake College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Rensselaer Polytechnic Institute](https://www.timesunion.com/news/article/RPI-requires-vaccinations-in-person-classes-for-16107307.php)@@Rensselaer Polytechnic Institute,16-Apr-21,Private,NY,✓,--,✓,--,--,D
[Renton Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Renton Technical College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Resurrection University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Resurrection University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Rhode Island College](https://www.ric.edu/meet-rhode-island-college/health-wellness/covid-19)@@Rhode Island College,--,Public,RI,--,--,✓,--,--,D
[Rhodes College](https://www.rhodes.edu/coronavirus-updates#tab_am-i-required-to-get-vaccinated-35548)@@Rhodes College,6-Aug-21,Private,TN,✓,--,✓,--,--,R
[Rice University](https://coronavirus.rice.edu/news/president-planning-fall-semester)@@Rice University,28-May-21,Private,TX,✓,--,✓,--,✓,R
[Richland Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Richland Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Rider University](https://www.rider.edu/about/news/rider-will-require-covid-19-vaccination-students)@@Rider University,29-Apr-21,Private,NJ,--,--,✓,--,--,D
[Rio Hondo College](https://www.riohondo.edu/student-health-services/vaccination/)@@Rio Hondo College,--,Public,CA,✓,--,✓,--,--,D
[Ripon College](https://ripon.edu/coronavirus-information/)@@Ripon College,12-Aug-21,Private,WI,--,--,✓,--,--,D
[River Parishes Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@River Parishes Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Riverside City College](https://www.rccd.edu/news/Pages/RCCD-Trustees-Mandate-COVID-Vaccinations.aspx)@@Riverside City College,10-Aug-21,Public,CA,✓,--,✓,--,--,D
[Rivier University](https://www.rivier.edu/student-life/health-and-wellness/health-alert-coronavirus-covoid-19/)@@Rivier University,--,Private,NH,✓,--,✓,--,--,D
[Roanoke College](https://www.roanoke.edu/about/news/covid_vaccine_requirement)@@Roanoke College,14-Jun-21,Private,VA,--,--,✓,--,--,D
[Robert Morris University](https://www.rmu.edu/about/health/recent-communications)@@Robert Morris University,30-Jun-21,Private,PA,--,--,✓,--,--,D
Rochester Institute of Technology,5-May-21,Private,NY,--,--,✓,--,--,D
[Rock Valley College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Rock Valley College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Rockford University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Rockford University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Rockhurst University](https://www.rockhurst.edu/covid-policies)@@Rockhurst University,--,Private,MO,--,--,✓,--,--,R
[Rockland Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Rockland Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
Rocky Vista University,--,For-profit,CO,✓,--,✓,--,--,D
[Roger Williams University](https://turnto10.com/news/local/roger-williams-university-to-require-students-to-get-covid-vaccine-for-fall-semester)@@Roger Williams University,1-Apr-21,Private,RI,✓,--,✓,--,✓,D
[Roosevelt University](https://blogs.roosevelt.edu/coronavirus/2021/04/26/may-5-2nd-dose-appointments-student-vaccination-requirement/)@@Roosevelt University,26-Apr-21,Private,IL,✓,--,✓,--,--,D
[Rosalind Franklin University of Medicine and Science](https://www.rosalindfranklin.edu/covid19/updates.php#20210528)@@Rosalind Franklin University of Medicine and Science,28-May-21,Private,IL,✓,--,✓,--,--,D
[Rosemont College](https://www.rosemont.edu/student-life/student-services/wellness-center/vaccination-mask-policy.php)@@Rosemont College,--,Private,PA,✓,--,✓,--,--,D
[Rowan University](https://today.rowan.edu/news/2021/05/rowan-offers-vaccination-incentives.html)@@Rowan University,6-May-21,Public,NJ,--,--,✓,--,--,D
[Roxbury Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Roxbury Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Rush University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Rush University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Russell Sage College](https://sites.google.com/sage.edu/covid19/updates#h.1ifew62v4anp)@@Russell Sage College,14-Jun-21,Private,NY,✓,--,✓,--,--,D
[Rutgers University-Camden](https://www.rutgers.edu/news/rutgers-require-covid-19-vaccine-students)@@Rutgers University-Camden,25-Mar-21,Public,NJ,✓,--,✓,--,--,D
[Rutgers University-New Brunswick](https://www.rutgers.edu/news/rutgers-require-covid-19-vaccine-students)@@Rutgers University-New Brunswick,25-Mar-21,Public,NJ,✓,--,✓,--,--,D
[Rutgers University-Newark](https://www.rutgers.edu/news/rutgers-require-covid-19-vaccine-students)@@Rutgers University-Newark,25-Mar-21,Public,NJ,✓,--,✓,--,--,D
[Sacramento City College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Sacramento City College,3-Aug-21,Public,CA,✓,--,✓,--,--,D
[Sacred Heart University](https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/)@@Sacred Heart University,23-Jul-21,Private,CT,✓,--,✓,--,--,D
[Saddleback College](https://www.saddleback.edu/spring2022)@@Saddleback College,--,Public,CA,--,--,✓,--,--,D
[SAE Institute of Technology at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@SAE Institute of Technology at Chicago,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Saint Anselm College](https://www.anselm.edu/covid-19-response/immunization-requirements)@@Saint Anselm College,--,Private,NH,✓,--,✓,--,--,D
[Saint Anthony College of Nursing](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Saint Anthony College of Nursing,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Saint Augustine College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Saint Augustine College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
